State,City,Country,latitude,longitude
Alabama,Ashford,US,31.18749725,-85.23589355790972
,Ashford,UK,51.148555,0.8722566
Alabama,Avon,US,31.1893444,-85.2860437
,Avon,UK,52.09345017470979,-1.9404751347557299
Alabama,Birmingham,US,33.5206824,-86.8024326
,Birmingham,UK,52.4796992,-1.9026911
Alabama,Brent,US,32.9373463,-87.1647184
,Brent,UK,52.01889184029921,-0.7235038733813537
Alabama,Brighton,US,33.4342755,-86.9472148
,Brighton,UK,50.8214626,-0.1400561
Alabama,Chelsea,US,33.3401108,-86.6302625
,Chelsea,UK,51.4875167,-0.1687007
Alabama,Leeds,US,33.5439212,-86.5427551
,Leeds,UK,53.7974185,-1.5437941
Alabama,New London,US,33.4817729,-86.3594235
,New London,UK,58.8356775,-2.8993399454931374
Alabama,Oxford,US,33.6149211,-85.8339391
,Oxford,UK,51.7520131,-1.2578499
Alabama,Sheffield,US,34.7650888,-87.6986407
,Sheffield,UK,53.3806626,-1.4702278
Alabama,Woodstock,US,33.2067835,-87.1499961
,Woodstock,UK,51.8474887,-1.3545343
Alabama,York,US,32.4862491,-88.2964183
,York,UK,53.96565785,-1.0743052444639218
Alaska,Sutton,US,61.7113889,-148.894166
,Sutton,UK,51.357464449999995,-0.17362689496950337
Arizona,Douglas,US,31.3447174,-109.5545036
,Douglas,UK,55.556821,-3.8480017
Arizona,Winslow,US,35.016918950000004,-110.72575546422247
,Winslow,UK,51.9444134,-0.8816234
Arkansas,Benton,US,36.3456186,-94.2670404
,Benton,UK,55.0139029,-1.5676297
Arkansas,Bradford,US,35.4231381,-91.4559649
,Bradford,UK,53.7944229,-1.7519186
Arkansas,Camden,US,33.5845582,-92.8343294
,Camden,UK,51.54279655,-0.16248031357798964
Arkansas,Chester,US,35.6809165,-94.1752057
,Chester,UK,53.1908873,-2.8908955
Arkansas,Carlisle,US,34.7831469,-91.7465235
,Carlisle,UK,54.8948478,-2.9362311
Arkansas,Dover,US,35.4004413,-93.1142982
,Dover,UK,51.1251275,1.3134228
Arkansas,England,US,34.5442609,-91.9690285
,England,UK,52.5310214,-1.2649062
Arkansas,Everton,US,36.1553504,-92.9068374
,Everton,UK,52.1462041,-0.2430129
Arkansas,Hampton,US,33.5380207,-92.4668693
,Hampton,UK,51.4150272,-0.3691409
Arkansas,Hartford,US,35.0228761,-94.3813277
,Hartford,UK,53.2438398,-2.5476682
Arkansas,Hatfield,US,34.4861412,-94.3787299
,Hatfield,UK,51.7634675,-0.2258741
Arkansas,Haynes,US,34.8909277,-90.7920565
,Haynes,UK,52.0666018,-0.3982969
Arkansas,Lincoln,US,33.9359663,-91.7713274
,Lincoln,UK,53.2293545,-0.5404819
Arkansas,London,US,35.328973,-93.2529553
,London,UK,51.4893335,-0.14405508452768728
Arkansas,Mansfield,US,35.0597255,-94.2488561
,Mansfield,UK,53.1443785,-1.1964165
Arkansas,Melbourne,US,36.0595148,-91.9084819
,Melbourne,UK,52.8228134,-1.4283564
Arkansas,Newark,US,35.7008914,-91.4450306
,Newark,UK,53.0736266,-0.8005422346357507
Arkansas,Newcastle,US,35.1209234,-90.7123323
,Newcastle,UK,54.9738474,-1.6131572
Arkansas,Oxford,US,36.2207563,-91.927144
,Oxford,UK,51.7520131,-1.2578499
Arkansas,Shirley,US,35.6574345,-92.317343
,Shirley,UK,52.9709753,-1.674886
California,Brentwood,US,37.9317766,-121.696026
,Brentwood,UK,51.6201654,0.3018662
California,Cardiff,US,33.6879696,-117.80698774999999
,Cardiff,UK,51.4816546,-3.1791934
California,Chatsworth,US,34.2572499,-118.6017022
,Chatsworth,UK,51.03208375,-0.8754677892445831
California,Chester,US,40.3064316,-121.231668
,Chester,UK,53.1908873,-2.8908955
California,Compton,US,33.894927,-118.226624
,Compton,UK,51.5155951,-1.2451999
California,Exeter,US,36.2961694,-119.1420953
,Exeter,UK,50.7256138,-3.5269209
California,Hanford,US,36.3277959,-119.6461565
,Hanford,UK,50.9011389,-2.2143761
California,Hollywood,US,34.0980031,-118.329523
,Hollywood,UK,52.3882858,-1.8766952
California,Kensington,US,37.908433,-122.27658376978837
,Kensington,UK,51.4989948,-0.1991229
California,Lancaster,US,34.6981064,-118.1366153
,Lancaster,UK,54.0484068,-2.7990345
California,Manchester,US,38.9701853,-123.6880732
,Manchester,UK,53.4794892,-2.2451148
California,Newcastle,US,38.8740658,-121.1332806
,Newcastle,UK,54.9738474,-1.6131572
California,Richmond,US,37.9357576,-122.347748
,Richmond,UK,51.4405529,-0.3076394377337949
California,Ryde,US,38.2385259,-121.5605093
,Ryde,UK,50.7299865,-1.1603699
California,Westminster,US,33.7578725,-117.9859054
,Westminster,UK,51.5004439,-0.1265398
California,Windsor,US,38.5471327,-122.8163802
,Windsor,UK,51.4837886,-0.6040418665032687
California,Stockton,US,37.9577016,-121.290779
,Stockton,UK,51.13402055,-2.034661787440431
Colorado,Arlington,US,38.3366913,-103.3442155
,Arlington,UK,51.1468971,-3.9840469
Colorado,Avon,US,39.6342752,-106.522243
,Avon,UK,52.09345017470979,-1.9404751347557299
Colorado,Brighton,US,39.983721,-104.8110775
,Brighton,UK,50.8214626,-0.1400561
Colorado,Bristol,US,38.1221999,-102.3107069
,Bristol,UK,51.4538022,-2.5972985
Colorado,Denver,US,39.7392364,-104.984862
,Denver,UK,52.5752721,0.34573346869227445
Colorado,Hereford,US,40.9749835,-104.3057869
,Hereford,UK,52.0553813,-2.7151735
Colorado,Sedgwick,US,40.8698595,-102.3777262
,Sedgwick,UK,54.27319155,-2.748344388542801
Colorado,Wellington,US,40.7038712,-105.008585
,Wellington,UK,50.978376,-3.2275504
Colorado,Westminster,US,39.8366528,-105.0372046
,Westminster,UK,51.5004439,-0.1265398
Colorado,Windsor,US,40.4774818,-104.901361
,Windsor,UK,51.4837886,-0.6040418665032687
Colorado,Winter Park,US,39.9180425,-105.7855635
,Winter Park,UK,53.30710395,-2.228907450000004
Connecticut,Andover,US,41.7373212,-72.37036
,Andover,UK,51.2078275,-1.479355
Connecticut,Ashford,US,41.8731532,-72.1214653
,Ashford,UK,51.148555,0.8722566
Connecticut,Avon,US,41.8098209,-72.8306541
,Avon,UK,52.09345017470979,-1.9404751347557299
Connecticut,Berkshire,US,41.4087069,-73.2595601
,Berkshire,UK,51.453488899999996,-1.0318729593399247
Connecticut,Bolton,US,41.7689878,-72.4334173
,Bolton,UK,53.5782863,-2.4300367
Connecticut,Bristol,US,41.6735209,-72.9464859
,Bristol,UK,51.4538022,-2.5972985
Connecticut,Canterbury,US,41.6982056,-71.9709821
,Canterbury,UK,51.2800275,1.0802533
Connecticut,Cheshire,US,41.4989861,-72.900658
,Cheshire,UK,53.2141028,-2.471770086071205
Connecticut,Chester,US,41.4031547,-72.4509204
,Chester,UK,53.1908873,-2.8908955
Connecticut,Chesterfield,US,41.4273202,-72.2145238
,Chesterfield,UK,53.2352134,-1.4264097
Connecticut,Colchester,US,41.5756543,-72.3320269
,Colchester,UK,51.8896903,0.8994651
Connecticut,Colebrook,US,41.9895388,-73.0956646
,Colebrook,UK,51.36253727104982,-0.5249028092743776
Connecticut,Cornwall,US,41.8437058,-73.3292848
,Cornwall,UK,50.416667,-4.75
Connecticut,Coventry,US,41.7700987,-72.3050803
,Coventry,UK,52.4081812,-1.510477
Connecticut,Danbury,US,41.394817,-73.4540111
,Danbury,UK,51.7109,0.5783784792198463
Connecticut,Derby,US,41.32896137834934,-73.07639223945577
,Derby,UK,52.9142235,-1.4719885461266053
Connecticut,Durham,US,41.4817647,-72.6812059
,Durham,UK,54.666667,-1.75
Connecticut,East Hampton,US,41.5758442,-72.5024804
,East Hampton,UK,51.4357056656806,-0.3769594570284768
Connecticut,East Windsor,US,41.9156316,-72.6130726
Connecticut,Easton,US,41.2528738,-73.2973394
,Easton,UK,52.3239273,-0.33245863730073444
Connecticut,Ellington,US,41.9039863,-72.4698071
,Ellington,UK,52.331611499999994,-0.2863624357246388
Connecticut,Enfield,US,41.9789387,-72.5755109
,Enfield,UK,51.6520851,-0.0810175
Connecticut,Essex,US,41.33231440621444,-72.39519425937021
,Essex,UK,51.77046785,0.46466977412300386
Connecticut,Farmington,US,41.7198216,-72.8320435
,Farmington,UK,51.8315245,-1.7988752280053433
Connecticut,Glastonbury,US,41.7123218,-72.608146
,Glastonbury,UK,51.14804,-2.716577
Connecticut,Granby,US,41.9538298,-72.789313
,Granby,UK,52.9183257,-0.8855771
Connecticut,Greenwich,US,41.0264862,-73.6284598
,Greenwich,UK,51.4820845,-0.0045417
Connecticut,Guilford,US,41.2827593,-72.6816365
,Guilford,UK,53.0895084,-1.371260740965157
Connecticut,Hampton,US,41.7839873,-72.0547977
,Hampton,UK,51.4150272,-0.3691409
Connecticut,Hartford,US,41.764582,-72.6908547
,Hartford,UK,53.2438398,-2.5476682
Connecticut,Kent,US,41.7246894,-73.476921
,Kent,UK,51.20707485,0.7210361813401444
Connecticut,Killingworth,US,41.3581545,-72.5637023
,Killingworth,UK,55.0319295,-1.581893
Connecticut,Litchfield,US,41.747319,-73.1887243
,Litchfield,UK,51.2826256,-1.3388563
Connecticut,Manchester,US,41.7834017,-72.5231973
,Manchester,UK,53.4794892,-2.2451148
Connecticut,Mansfield,US,41.7782147,-72.2131565
,Mansfield,UK,53.1443785,-1.1964165
Connecticut,Marlborough,US,41.631488,-72.459808
,Marlborough,UK,51.420633,-1.7251743451994652
Connecticut,Meriden,US,41.5381535,-72.8070435
,Meriden,UK,52.4373156,-1.647117
