Folder Name,Place Name,Confidence Score,Biblical References URLs,Biblical References,Coordinates,US Matching Cities,US Matching States,Place Type,Confidence Numeric
Abilene,Abilene,Most Likely,https://www.biblegateway.com/passage/?search=Luke.3.1&amp;version=ESV,Luke:3:1,"36.105833,33.626667","Abilene (Texas) - city: 32.44645,-99.7475905; Abilene (Kansas) - town: 38.917252,-97.21377",Kansas; Texas,city; town,100
"Acco (Akko, Accho)",Acco,Most Likely,https://www.biblegateway.com/passage/?search=Judg.1.31&amp;version=ESV,Judges 1:31,"35.088333,32.921111","Acco Park (Maryland) - hamlet: 38.6740056,-76.999975",Maryland,hamlet,100
Adam,Adam,Most Likely,https://www.biblegateway.com/passage/?search=Josh.3.16&amp;version=ESV,Joshua 3:16,"35.546789,32.103933","Adam (West Virginia) - hamlet: 38.8300881,-81.1717816; Adam (Florida) - hamlet: 29.4913573,-82.5062179",Florida; West Virginia,hamlet,100
Ai 3,Ai,Most Likely,https://www.biblegateway.com/passage/?search=Neh.7.32&amp;version=ESV,Nehemiah 7:32,"35.261111,31.916944","Ai (Ohio) - hamlet: 41.6281072,-83.9352213; Ai (Georgia) - hamlet: 34.8336938,-84.452704; Ai (North Carolina) - hamlet: 36.3201411,-78.9616759; Ai (Alabama) - hamlet: 33.6501069,-85.4471769",Alabama; Georgia; North Carolina; Ohio,hamlet,100
Alexandria,Alexandria,Most Likely,https://www.biblegateway.com/passage/?search=Acts.6.9&amp;version=NIV; https://www.biblegateway.com/passage/?search=Acts.18.24&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.27.6&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.28.11&amp;version=ESV,"Acts:6:9, Acts:18:24, Acts:27:6, Acts:28:11","29.8965,31.1825","Alexandria (Virginia) - city: 38.8051095,-77.0470229; Alexandria (Louisiana) - city: 31.3119463,-92.4453558; Alexandria (Minnesota) - town: 45.8835101,-95.3745015; Alexandria (Kentucky) - city: 38.9595078,-84.3879946; Alexandria (New Hampshire) - village: 43.61172,-71.792908; Alexandria (South Dakota) - town: 43.653592,-97.782848; Alexandria (Missouri) - village: 40.3594887,-91.455432; Alexandria (Indiana) - town: 40.2635468,-85.6744815; Alexandria (Tennessee) - town: 36.0775587,-86.0333222; Alexandria (Pennsylvania) - village: 40.5564586,-78.0977847; Alexandria (Ohio) - village: 40.0889524,-82.6123872; Alexandria (Nebraska) - village: 40.245225,-97.3895772",Indiana; Kentucky; Louisiana; Minnesota; Missouri; Nebraska; New Hampshire; Ohio; Pennsylvania; South Dakota; Tennessee; Virginia,city; town; village,100
Allon,Allon,Most Likely,https://www.biblegateway.com/passage/?search=Josh.19.33&amp;version=KJV,Joshua 19:33,"35.41064,32.72113","Allon (Louisiana) - hamlet: 30.6412989,-91.4940016; Allon (Georgia) - hamlet: 32.637644,-83.9837982",Georgia; Louisiana,hamlet,100
Amana (Mount Amana),Amana,Most Likely,https://www.biblegateway.com/passage/?search=Song.4.8&amp;version=ESV,Song of Songs 4:8,"36.013654,33.621927 36.036276,33.678289 36.072821,33.735011 36.029676,33.743231 35.985055,33.634683 36.013654,33.621927","Amana (Iowa) - hamlet: 41.8000071,-91.8707335; Middle Amana (Iowa) - hamlet: 41.7955624,-91.8996227; South Amana (Iowa) - hamlet: 41.7761175,-91.9674013; East Amana (Iowa) - hamlet: 41.8091676,-91.8510108; High Amana (Iowa) - hamlet: 41.8034808,-91.9408102",Iowa,hamlet,100
Ammon,Ammon,Most Likely,https://www.biblegateway.com/passage/?search=Zeph.2.8&amp;version=NASB; https://www.biblegateway.com/passage/?search=Zeph.2.9&amp;version=NASB,"Zephaniah 2:8, Zephaniah 2:9","35.9343,31.9547","Ammon (Idaho) - town: 43.4768028,-111.9641319; Ammon (Virginia) - hamlet: 37.2112613,-77.7680528; Ammon (North Carolina) - hamlet: 34.8001703,-78.5802887; Ammon (Wyoming) - hamlet: 42.6263572,-105.1302535",Idaho; North Carolina; Virginia; Wyoming,hamlet; town,100
Angle,Angle,Most Likely,https://www.biblegateway.com/passage/?search=Neh.3.19&amp;version=NASB; https://www.biblegateway.com/passage/?search=Neh.3.20&amp;version=NASB; https://www.biblegateway.com/passage/?search=Neh.3.24&amp;version=NASB; https://www.biblegateway.com/passage/?search=Neh.3.25&amp;version=NASB,"Nehemiah 3:19, Nehemiah 3:20, Nehemiah 3:24, Nehemiah 3:25","35.234167,31.776667","Angle Inlet (Minnesota) - hamlet: 49.3430199,-95.0636673",Minnesota,hamlet,100
Antioch 1,Antioch,Most Likely,https://www.biblegateway.com/passage/?search=Gal.2.11&amp;version=ESV,Gal:2:11,"36.171743,36.226691","Antioch (California) - city: 38.0049214,-121.805789; Antioch (Illinois) - town: 42.4767131,-88.0950691; Antioch (Ohio) - village: 39.660074,-81.0678844; Antioch (Indiana) - hamlet: 39.0986542,-87.2375146; Antioch (Indiana) - hamlet: 40.3678229,-84.9421887; Antioch (Indiana) - hamlet: 40.2280928,-86.505836; Antioch (Virginia) - hamlet: 38.8591149,-77.6861278; Antioch (West Virginia) - hamlet: 39.3237112,-79.0175288; Antioch (Indiana) - hamlet: 38.8595061,-84.8838378; Antioch (Virginia) - hamlet: 37.846531,-78.4205635; Antioch (Nebraska) - hamlet: 42.0683029,-102.5827826; Antioch (Kentucky) - hamlet: 38.5664617,-84.2927135; Antioch (Tennessee) - hamlet: 36.0806394,-83.7799037; Antioch (Tennessee) - hamlet: 35.7897928,-88.9742295; Antioch (Ohio) - hamlet: 39.766172,-83.2715819; Antioch (Arkansas) - hamlet: 34.311758,-92.9868413; Antioch (South Carolina) - hamlet: 34.7026504,-80.6767343; Antioch (West Virginia) - hamlet: 38.785921,-81.5048453; Antioch (Arkansas) - hamlet: 35.1356413,-91.9170871; Antioch (Texas) - hamlet: 33.3778868,-95.8005183; Antioch (Texas) - hamlet: 32.102386,-94.2718631; Antioch (Missouri) - hamlet: 40.3247646,-91.6932188; Antioch (Kansas) - hamlet: 38.7233425,-94.9455204; Antioch (Texas) - hamlet: 32.2020999,-95.2588384; Antioch (Oklahoma) - hamlet: 34.1000971,-96.828338; Antioch (Alabama) - hamlet: 31.3857228,-86.3830123; Antioch (Alabama) - hamlet: 31.7590481,-85.8891149; Antioch (Alabama) - hamlet: 32.3501386,-86.455251; Antioch (Texas) - hamlet: 32.232374,-95.5641256; Antioch (Arkansas) - hamlet: 34.9578662,-92.7587774; Antioch (Louisiana) - hamlet: 32.864589,-92.9246037; Antioch (Texas) - hamlet: 31.0674079,-95.7113367; Antioch (Alabama) - hamlet: 34.2306496,-85.6380189; Antioch (North Carolina) - hamlet: 34.0229286,-78.1515725; Antioch (North Carolina) - hamlet: 34.8857201,-79.2083681; Antioch (Tennessee) - hamlet: 35.6845132,-88.4425486; Antioch (Alabama) - hamlet: 32.9448459,-86.9986033; Antioch (Alabama) - hamlet: 34.8931406,-87.473357; Antioch (Mississippi) - hamlet: 31.6337753,-89.0581114; Antioch (Georgia) - hamlet: 33.953435,-85.1613381; Antioch (Tennessee) - hamlet: 36.3558822,-86.2549901; Antioch (Tennessee) - hamlet: 36.2753371,-85.6583124; Antioch (North Carolina) - hamlet: 34.2396133,-78.7183503; Antioch (Tennessee) - hamlet: 35.5859134,-89.5425757; Antioch (Mississippi) - hamlet: 34.6992676,-89.8711996; Antioch (Texas) - hamlet: 31.7745949,-98.7775476; Antioch (Texas) - hamlet: 33.1854061,-94.2557465; Antioch (South Carolina) - hamlet: 34.2398753,-80.468687",Alabama; Arkansas; California; Georgia; Illinois; Indiana; Kansas; Kentucky; Louisiana; Mississippi; Missouri; Nebraska; North Carolina; Ohio; Oklahoma; South Carolina; Tennessee; Texas; Virginia; West Virginia,city; hamlet; town; village,100
